,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
297,,Solo Leisure,Economy Class,November 2022,1,1,1,2,1,,1,No,2nd December 2022,1
298,A330,Business,Economy Class,December 2022,,,,,1,,1,No,2nd December 2022,1
299,,Family Leisure,Economy Class,January 2022,5,5,,,3,,3,No,1st December 2022,3
300,Boeing 777-300ER,Couple Leisure,Economy Class,November 2022,1,4,1,3,3,,1,No,1st December 2022,1
301,,Couple Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,No,1st December 2022,1
302,,Solo Leisure,Economy Class,November 2022,5,3,1,5,5,5,4,No,30th November 2022,6
303,,Business,Business Class,November 2022,3,2,3,2,4,1,2,No,27th November 2022,2
304,,Family Leisure,Economy Class,August 2022,1,1,1,1,1,1,1,No,27th November 2022,1
305,,Family Leisure,Economy Class,December 2021,,,,,1,,1,No,27th November 2022,1
306,,Couple Leisure,Economy Class,November 2022,3,3,3,3,1,3,1,No,26th November 2022,1
307,Boeing 787,Couple Leisure,Economy Class,November 2022,2,3,2,2,1,,1,No,26th November 2022,1
308,,Couple Leisure,Economy Class,October 2022,1,2,1,4,1,,1,No,23rd November 2022,1
309,,Solo Leisure,Economy Class,April 2022,1,1,1,1,1,1,1,No,23rd November 2022,1
310,,Family Leisure,Economy Class,November 2022,3,4,2,2,1,4,2,No,21st November 2022,2
311,Canadair Regional Jet 900,Solo Leisure,Economy Class,October 2022,3,5,3,,5,,4,Yes,21st November 2022,10
312,,Couple Leisure,Business Class,November 2022,5,5,5,4,5,,5,Yes,20th November 2022,10
313,,Solo Leisure,Economy Class,November 2022,1,2,1,1,1,,1,No,18th November 2022,1
314,,Family Leisure,Economy Class,November 2022,3,3,2,3,2,,1,No,15th November 2022,1
315,,Family Leisure,Economy Class,July 2022,1,2,1,1,1,1,1,No,15th November 2022,1
316,,Solo Leisure,Premium Economy,September 2022,1,2,1,1,1,1,1,No,14th November 2022,1
317,,Solo Leisure,Economy Class,November 2022,3,3,3,3,1,3,1,No,14th November 2022,1
318,,Couple Leisure,Economy Class,June 2022,1,1,1,1,1,1,1,No,14th November 2022,1
319,,Family Leisure,Business Class,November 2022,5,5,3,4,3,,4,Yes,14th November 2022,9
320,,Family Leisure,Economy Class,November 2022,2,2,1,3,1,1,1,No,11th November 2022,1
321,,Business,Economy Class,November 2022,1,5,4,4,1,4,1,No,11th November 2022,1
322,,Family Leisure,Economy Class,August 2022,2,3,3,3,1,3,1,No,9th November 2022,2
323,,Business,Business Class,November 2022,3,4,2,3,1,1,1,No,8th November 2022,1
324,,Couple Leisure,Economy Class,November 2022,2,3,3,4,2,1,1,No,8th November 2022,2
325,Boeing 787-9,Solo Leisure,Business Class,November 2022,5,5,5,5,5,5,5,Yes,7th November 2022,10
326,,Solo Leisure,Economy Class,July 2022,2,1,1,,1,,2,No,7th November 2022,1
327,,Family Leisure,Economy Class,October 2022,4,3,3,4,1,,2,No,6th November 2022,1
328,,Couple Leisure,Economy Class,October 2022,3,3,2,2,1,,1,No,4th November 2022,1
329,,Business,Economy Class,November 2022,,,,,,,1,No,4th November 2022,1
330,,Solo Leisure,Economy Class,September 2022,2,3,1,3,3,,1,No,1st November 2022,3
331,,Couple Leisure,Economy Class,September 2022,2,4,3,4,1,,1,No,1st November 2022,2
332,,Solo Leisure,Economy Class,October 2022,3,3,4,4,5,,4,Yes,31st October 2022,8
333,,Solo Leisure,Economy Class,October 2022,4,5,4,5,5,,4,Yes,30th October 2022,10
334,,Family Leisure,Economy Class,October 2022,1,1,1,1,1,1,1,No,28th October 2022,2
335,,Family Leisure,Economy Class,October 2022,1,3,3,4,1,,1,No,24th October 2022,1
336,,Couple Leisure,Business Class,October 2022,2,3,,,1,,1,No,23rd October 2022,1
337,,Solo Leisure,Economy Class,October 2022,1,1,1,1,1,1,1,No,23rd October 2022,1
338,,Couple Leisure,Business Class,July 2022,3,3,2,2,1,,1,No,23rd October 2022,1
339,CRJ700,Solo Leisure,Economy Class,October 2022,1,2,1,,1,,1,No,23rd October 2022,1
340,,Family Leisure,Economy Class,October 2022,1,1,1,5,4,,1,No,22nd October 2022,3
341,,Family Leisure,Economy Class,July 2022,3,3,3,3,1,1,1,No,20th October 2022,1
342,,Couple Leisure,Economy Class,May 2022,3,3,3,3,2,3,2,No,15th October 2022,2
343,Boeing 787-9,Business,Premium Economy,October 2022,4,4,3,4,3,4,3,No,14th October 2022,6
344,,Couple Leisure,Economy Class,September 2022,4,4,3,4,2,,3,No,13th October 2022,5
345,,Couple Leisure,Premium Economy,October 2022,2,3,2,2,1,3,2,No,13th October 2022,2
346,,Solo Leisure,Economy Class,October 2022,5,5,4,5,5,4,5,Yes,12th October 2022,10
347,,Couple Leisure,Economy Class,October 2022,1,1,1,1,1,1,1,No,11th October 2022,1
348,,Couple Leisure,Economy Class,October 2022,1,1,1,1,1,1,1,No,10th October 2022,1
349,,Solo Leisure,Economy Class,October 2022,1,1,1,1,1,1,1,No,10th October 2022,1
350,A320 / Boeing 787-9,Family Leisure,Premium Economy,September 2022,1,1,3,2,1,,2,No,10th October 2022,2
351,,Solo Leisure,Economy Class,October 2022,3,2,1,3,1,1,1,No,8th October 2022,1
352,Boeing 777,Couple Leisure,Economy Class,October 2022,3,1,2,4,1,,1,No,7th October 2022,2
353,,Solo Leisure,Economy Class,October 2022,2,2,,,1,,2,No,6th October 2022,1
354,,Couple Leisure,Business Class,September 2022,1,1,1,1,1,1,1,No,5th October 2022,1
355,,Business,Economy Class,October 2022,1,1,,,1,,1,No,5th October 2022,1
356,,Solo Leisure,Economy Class,September 2022,2,2,1,3,1,2,2,No,4th October 2022,3
357,,Family Leisure,Economy Class,September 2022,3,2,3,2,1,1,1,No,3rd October 2022,2
358,,Solo Leisure,Economy Class,October 2022,1,1,,,1,1,1,No,2nd October 2022,1
359,,Couple Leisure,Business Class,October 2022,4,4,2,2,1,1,1,No,2nd October 2022,2
360,,Couple Leisure,Economy Class,October 2022,2,2,2,3,1,1,2,No,2nd October 2022,3
361,,Family Leisure,Economy Class,September 2022,2,1,1,2,1,1,1,No,1st October 2022,1
362,,Couple Leisure,Economy Class,September 2022,3,1,1,,1,,1,No,1st October 2022,3
363,Boeing 787-9,Couple Leisure,Premium Economy,September 2022,1,2,3,2,3,3,1,No,1st October 2022,1
364,,Business,Business Class,September 2022,2,1,1,1,1,1,1,No,30th September 2022,1
365,,Couple Leisure,Economy Class,September 2022,3,1,1,4,2,,2,No,29th September 2022,1
366,,Solo Leisure,Economy Class,September 2022,1,1,2,3,2,,1,No,29th September 2022,1
367,,Solo Leisure,Premium Economy,September 2022,2,4,4,5,2,,2,No,28th September 2022,4
368,Boeing 787,Couple Leisure,Economy Class,September 2022,1,2,2,,3,,2,No,28th September 2022,1
369,Boeing 737 MAX8,Couple Leisure,Economy Class,September 2022,1,1,1,2,4,,2,No,27th September 2022,1
370,,Couple Leisure,Economy Class,September 2022,4,3,2,4,1,,2,No,26th September 2022,2
371,,Couple Leisure,Economy Class,September 2022,1,1,,,1,,1,No,26th September 2022,1
372,,Family Leisure,Economy Class,September 2022,3,1,3,3,1,1,1,No,25th September 2022,1
373,,Family Leisure,Premium Economy,September 2022,4,2,2,4,2,,3,No,24th September 2022,6
374,Boeing 787-9,Couple Leisure,Premium Economy,September 2022,1,2,2,3,3,,2,No,24th September 2022,2
375,,Business,Economy Class,September 2022,1,3,,3,1,1,1,No,24th September 2022,1
376,Boeing 787,Couple Leisure,Economy Class,September 2022,2,2,2,4,3,,3,No,23rd September 2022,6
377,,Couple Leisure,Economy Class,September 2022,1,1,1,,1,,1,No,23rd September 2022,1
378,,Solo Leisure,Economy Class,August 2022,1,1,1,1,1,1,1,No,22nd September 2022,1
379,Boeing 777-200LR,Business,Economy Class,September 2022,2,3,2,,4,,1,Yes,22nd September 2022,4
380,,Couple Leisure,Economy Class,September 2022,3,4,1,2,4,,2,No,21st September 2022,3
381,Boeing 787,Couple Leisure,Business Class,September 2022,5,4,4,4,4,,4,Yes,21st September 2022,8
382,,Couple Leisure,Economy Class,August 2022,3,2,2,3,3,4,1,No,20th September 2022,1
383,,Couple Leisure,Economy Class,September 2022,1,1,1,1,1,1,1,No,19th September 2022,1
384,B787-900,Couple Leisure,Economy Class,September 2022,3,4,4,3,3,,3,Yes,19th September 2022,7
385,Boeing 787-8,Family Leisure,Business Class,August 2022,4,5,3,2,3,4,4,Yes,18th September 2022,8
386,,Solo Leisure,Economy Class,September 2022,1,2,2,3,1,2,1,No,18th September 2022,1
387,Boeing 787-9,Couple Leisure,Economy Class,September 2022,2,1,1,3,1,,1,No,17th September 2022,2
388,Boeing 787-9,Couple Leisure,Economy Class,September 2022,3,1,1,3,3,2,3,No,17th September 2022,3
389,Boeing 787,Couple Leisure,Business Class,September 2022,4,5,4,5,5,5,4,Yes,16th September 2022,8
390,,Couple Leisure,Economy Class,September 2022,3,4,,,3,,1,No,15th September 2022,1
391,,Couple Leisure,Economy Class,September 2022,3,1,2,5,5,,3,No,15th September 2022,1
392,,Couple Leisure,Economy Class,September 2022,4,5,,,5,,3,No,15th September 2022,2
393,,Solo Leisure,Economy Class,August 2022,1,3,,3,3,,1,No,14th September 2022,1
394,,Family Leisure,Economy Class,September 2022,2,3,1,3,1,,1,No,13th September 2022,1
395,,Couple Leisure,Economy Class,September 2022,1,1,,2,1,,1,No,13th September 2022,1
396,,Solo Leisure,Economy Class,September 2022,2,1,1,1,2,1,1,No,13th September 2022,1
397,,Solo Leisure,Economy Class,September 2022,3,1,3,3,1,2,1,No,12th September 2022,1
398,,Solo Leisure,Economy Class,September 2022,3,3,1,1,3,,2,No,10th September 2022,4
399,A330,Solo Leisure,Economy Class,September 2022,1,1,1,2,1,1,1,No,8th September 2022,1
400,,Couple Leisure,Economy Class,September 2022,1,1,1,1,1,1,1,No,5th September 2022,1
401,,Solo Leisure,Economy Class,September 2022,3,3,2,3,1,2,1,No,5th September 2022,1
402,A320 / Boeing 777-300,Couple Leisure,Business Class,August 2022,5,5,5,4,5,,5,Yes,4th September 2022,10
403,,Couple Leisure,Economy Class,September 2022,5,5,5,,5,,5,Yes,4th September 2022,10
404,,Family Leisure,Economy Class,July 2022,1,2,2,2,1,1,1,No,4th September 2022,1
405,,Family Leisure,Economy Class,August 2022,1,1,1,3,1,1,1,No,3rd September 2022,1
406,,Solo Leisure,Economy Class,September 2022,1,1,1,,1,1,1,No,2nd September 2022,1
407,Boeing 777-300ER,Family Leisure,Economy Class,August 2022,1,1,1,1,1,,1,No,31st August 2022,1
408,,Couple Leisure,Economy Class,August 2022,3,1,3,3,1,3,1,No,31st August 2022,1
409,,Solo Leisure,Economy Class,August 2022,1,1,1,1,1,1,1,No,30th August 2022,1
410,,Couple Leisure,Economy Class,August 2022,5,5,4,4,5,,5,Yes,30th August 2022,10
411,,Family Leisure,Economy Class,August 2022,2,1,1,1,1,,1,No,30th August 2022,2
412,,Family Leisure,Economy Class,August 2022,1,1,1,1,1,1,1,No,30th August 2022,1
413,,Solo Leisure,Economy Class,August 2022,,,,,,,3,No,30th August 2022,4
414,,Solo Leisure,Economy Class,July 2022,3,1,,,1,,1,No,29th August 2022,1
415,,Business,Economy Class,August 2022,3,1,,,1,,1,No,29th August 2022,1
416,Boeing 787-9,Couple Leisure,Economy Class,August 2022,2,3,2,2,1,1,2,No,28th August 2022,1
417,,Solo Leisure,Economy Class,August 2022,1,1,1,1,1,1,1,No,28th August 2022,1
418,,Solo Leisure,Economy Class,August 2022,1,1,,,1,,2,No,26th August 2022,2
419,A321-200,Couple Leisure,Economy Class,August 2022,2,3,1,1,2,1,2,No,25th August 2022,3
420,Boeing 787,Business,Business Class,August 2022,2,1,1,1,2,,1,No,25th August 2022,1
421,,Couple Leisure,Economy Class,August 2022,2,4,2,1,1,,3,No,24th August 2022,3
422,,Family Leisure,Economy Class,June 2022,5,4,5,3,1,1,1,No,24th August 2022,1
423,,Solo Leisure,Economy Class,August 2022,1,3,1,1,1,1,1,No,23rd August 2022,1
424,,Family Leisure,Economy Class,August 2022,1,1,1,1,2,2,1,No,23rd August 2022,1
425,,Couple Leisure,Economy Class,August 2022,2,2,3,1,1,1,1,No,23rd August 2022,1
426,,Business,Economy Class,August 2022,2,1,1,,1,,1,No,23rd August 2022,1
427,,Family Leisure,Economy Class,August 2022,1,1,,,1,,1,No,23rd August 2022,1
428,,Business,Premium Economy,August 2022,4,3,1,3,2,,1,No,23rd August 2022,1
429,,Solo Leisure,Economy Class,July 2022,3,3,3,3,1,,1,No,23rd August 2022,1
430,,Family Leisure,Economy Class,August 2022,1,1,1,4,1,,1,No,22nd August 2022,1
431,,Solo Leisure,Economy Class,August 2022,1,1,1,4,1,4,1,No,22nd August 2022,1
432,,Couple Leisure,Economy Class,August 2022,3,3,,,1,,1,No,18th August 2022,1
433,,Family Leisure,Economy Class,August 2022,1,1,1,1,1,,1,No,17th August 2022,1
434,Boeing 777,Family Leisure,Economy Class,August 2022,1,2,1,4,1,1,1,No,16th August 2022,1
435,,Family Leisure,Economy Class,August 2022,1,5,3,2,2,2,2,No,16th August 2022,4
436,,Solo Leisure,Economy Class,July 2022,2,1,1,1,1,,1,No,15th August 2022,1
437,Boeing 777-300ER,Couple Leisure,Business Class,August 2022,5,5,5,3,2,,4,Yes,14th August 2022,10
438,,Solo Leisure,Economy Class,August 2022,2,3,1,2,1,1,2,No,14th August 2022,2
439,,Solo Leisure,Economy Class,August 2022,1,1,1,2,1,,1,No,14th August 2022,1
440,Boeing 787-8,Solo Leisure,Economy Class,August 2022,3,1,1,2,3,,3,No,13th August 2022,3
441,,Family Leisure,Economy Class,August 2022,1,2,1,2,2,,3,No,12th August 2022,1
442,,Business,Business Class,May 2022,4,4,2,3,1,1,3,No,11th August 2022,9
443,,Family Leisure,Economy Class,July 2022,2,1,3,3,1,3,2,No,10th August 2022,2
444,,Solo Leisure,Economy Class,August 2022,,,,,,,1,No,9th August 2022,2
445,,Solo Leisure,Economy Class,August 2022,,,,,1,,1,No,9th August 2022,1
446,Boeing 737MAX,Solo Leisure,Economy Class,July 2022,3,3,1,4,2,,2,No,9th August 2022,6
447,Boeing 737MAX,Solo Leisure,Business Class,July 2022,2,3,2,4,2,,2,No,9th August 2022,5
448,,Family Leisure,Economy Class,August 2022,3,1,3,3,1,2,3,No,8th August 2022,6
449,,Couple Leisure,Economy Class,August 2022,1,1,,,1,,1,No,8th August 2022,1
450,,Couple Leisure,Economy Class,August 2022,1,2,3,1,1,5,1,No,7th August 2022,1
451,,Couple Leisure,Economy Class,August 2022,1,2,1,2,1,1,1,No,7th August 2022,1
452,,Family Leisure,Economy Class,August 2022,2,1,3,3,1,,2,No,7th August 2022,3
453,,Couple Leisure,Economy Class,August 2022,3,4,,,1,,1,No,7th August 2022,1
454,,Family Leisure,Economy Class,August 2022,1,1,1,1,1,1,1,No,7th August 2022,1
455,,Solo Leisure,Economy Class,August 2022,3,4,2,3,1,,1,No,5th August 2022,2
456,,Solo Leisure,Economy Class,August 2022,1,1,,,3,,1,No,5th August 2022,1
457,Boeing 737,Couple Leisure,Economy Class,August 2022,2,3,1,1,1,1,2,No,4th August 2022,2
458,,Solo Leisure,Business Class,August 2022,4,3,2,2,1,1,1,No,4th August 2022,2
459,,Family Leisure,Premium Economy,August 2022,1,1,1,1,1,1,1,No,4th August 2022,1
460,Boeing 788,Business,Business Class,July 2022,4,2,3,4,4,,4,No,4th August 2022,5
461,Embraer 175,Business,Business Class,August 2022,5,5,5,5,5,5,5,Yes,2nd August 2022,10
462,,Business,Economy Class,June 2022,,,,,1,,1,No,2nd August 2022,1
463,,Business,Economy Class,August 2022,1,1,1,1,1,1,1,No,1st August 2022,2
464,,Solo Leisure,First Class,July 2022,4,4,3,4,1,,2,No,31st July 2022,4
465,,Couple Leisure,Economy Class,July 2022,2,3,2,1,1,1,1,No,31st July 2022,1
466,,Family Leisure,Economy Class,July 2022,3,4,5,4,1,1,1,No,30th July 2022,2
467,,Family Leisure,Economy Class,July 2022,3,5,3,4,5,,5,Yes,29th July 2022,9
468,,Couple Leisure,Economy Class,July 2022,3,2,2,2,1,,1,No,29th July 2022,1
469,,Couple Leisure,Economy Class,June 2022,3,2,2,,2,,1,No,27th July 2022,1
470,,Solo Leisure,Economy Class,June 2022,1,1,,,1,,1,No,26th July 2022,1
471,,Couple Leisure,Economy Class,July 2022,1,2,2,2,2,,1,No,26th July 2022,2
472,,Couple Leisure,Economy Class,July 2022,1,1,1,,1,,1,No,26th July 2022,1
473,,Solo Leisure,Economy Class,July 2022,1,3,1,3,1,1,1,No,25th July 2022,1
474,,Couple Leisure,Economy Class,July 2022,3,3,1,2,2,1,2,No,24th July 2022,3
475,,Family Leisure,Economy Class,July 2022,1,2,3,3,1,1,2,No,23rd July 2022,1
476,,Couple Leisure,Economy Class,July 2022,2,2,2,,1,,1,No,23rd July 2022,1
477,,Family Leisure,Economy Class,July 2022,3,2,1,3,3,1,1,No,21st July 2022,3
478,,Family Leisure,Economy Class,July 2022,1,1,,,1,,1,No,20th July 2022,1
479,Boeing 777-300 ER,Solo Leisure,Economy Class,July 2022,1,1,3,1,1,1,1,No,20th July 2022,1
480,,Family Leisure,Economy Class,July 2022,1,1,2,1,1,1,1,No,20th July 2022,1
481,,Couple Leisure,Economy Class,July 2022,1,1,1,2,1,1,2,No,20th July 2022,2
482,,Solo Leisure,Economy Class,July 2022,1,1,1,1,1,1,1,No,20th July 2022,1
483,,Couple Leisure,Economy Class,July 2022,3,4,2,,1,,2,No,20th July 2022,1
484,,Solo Leisure,Economy Class,July 2022,1,,,,1,,1,No,19th July 2022,1
485,,Solo Leisure,Economy Class,July 2022,1,2,,1,1,,1,No,19th July 2022,1
486,,Solo Leisure,Economy Class,June 2022,1,1,1,1,1,1,1,No,18th July 2022,1
487,,Family Leisure,Economy Class,July 2022,1,1,1,3,1,,1,No,18th July 2022,1
488,,Family Leisure,Economy Class,July 2022,2,3,2,3,1,,1,No,18th July 2022,1
489,,Solo Leisure,Economy Class,July 2022,2,2,2,2,1,,1,No,18th July 2022,1
490,,Solo Leisure,Economy Class,July 2022,1,1,,,1,,1,No,17th July 2022,1
491,,Family Leisure,Economy Class,July 2022,3,3,1,3,1,1,1,No,17th July 2022,2
492,,Couple Leisure,Economy Class,June 2022,1,1,,1,1,,1,No,17th July 2022,1
493,,Couple Leisure,Economy Class,July 2022,1,3,1,4,1,,1,No,17th July 2022,1
494,,Couple Leisure,Economy Class,July 2022,1,1,1,,3,,1,No,16th July 2022,4
495,,Solo Leisure,Economy Class,July 2022,1,1,1,1,1,1,1,No,14th July 2022,1
496,,Family Leisure,Economy Class,July 2022,3,4,3,3,2,2,1,No,14th July 2022,1
497,,Family Leisure,Economy Class,June 2022,1,1,1,1,1,1,1,No,13th July 2022,2
498,Boeing 737Max8,Couple Leisure,Economy Class,July 2022,5,5,5,5,5,,5,Yes,13th July 2022,10
499,,Solo Leisure,Economy Class,July 2022,1,1,1,1,1,,1,No,13th July 2022,1
500,,Couple Leisure,Economy Class,July 2022,3,1,1,4,1,,1,No,12th July 2022,1
501,,Solo Leisure,Economy Class,June 2022,1,1,1,1,1,1,1,No,12th July 2022,1
502,,Couple Leisure,Economy Class,June 2022,3,3,3,3,1,3,1,No,11th July 2022,1
503,,Couple Leisure,Economy Class,July 2022,1,1,,,1,,1,No,11th July 2022,1
504,,Couple Leisure,Economy Class,July 2022,1,1,1,1,1,1,1,No,10th July 2022,1
505,,Couple Leisure,Economy Class,June 2022,,,,,,,2,No,10th July 2022,4
506,,Business,Economy Class,July 2022,2,2,2,2,1,2,1,No,10th July 2022,1
507,,Business,Economy Class,July 2022,1,1,1,1,1,1,1,No,10th July 2022,1
508,Boeing 787,Couple Leisure,Economy Class,July 2022,2,1,1,2,1,1,1,No,9th July 2022,2
509,,Couple Leisure,Economy Class,July 2022,4,5,3,3,5,3,4,Yes,9th July 2022,7
510,,Solo Leisure,Economy Class,July 2022,1,1,1,1,1,1,1,No,9th July 2022,1
511,,Couple Leisure,Premium Economy,July 2022,3,4,2,,1,1,1,No,9th July 2022,1
512,,Solo Leisure,Economy Class,July 2022,2,1,1,1,1,,1,No,9th July 2022,1
513,,Solo Leisure,Economy Class,June 2022,2,2,3,2,1,1,1,No,8th July 2022,1
514,,Couple Leisure,Economy Class,July 2022,1,4,1,,1,,1,No,8th July 2022,1
515,,Family Leisure,Economy Class,July 2022,2,2,1,4,3,2,1,No,8th July 2022,1
516,,Family Leisure,Economy Class,July 2022,2,3,1,2,1,,1,No,8th July 2022,2
517,,Couple Leisure,Business Class,June 2022,4,4,4,4,1,4,1,No,7th July 2022,1
518,,Family Leisure,Economy Class,July 2022,3,2,1,,1,,1,No,6th July 2022,1
519,A320-200 and A220,Solo Leisure,Economy Class,July 2022,4,3,3,4,2,,1,No,6th July 2022,1
520,,Family Leisure,Economy Class,July 2022,2,4,3,1,2,1,1,No,6th July 2022,2
521,,Couple Leisure,Economy Class,June 2022,3,3,3,3,1,3,2,No,5th July 2022,3
522,,Solo Leisure,Economy Class,June 2022,1,1,1,1,1,1,1,No,5th July 2022,1
523,Boeing 737 max,Couple Leisure,Premium Economy,July 2022,4,5,4,4,4,4,5,Yes,5th July 2022,10
524,,Solo Leisure,Economy Class,July 2022,4,5,5,1,2,1,4,No,5th July 2022,1
525,,Family Leisure,Economy Class,June 2022,2,5,2,2,4,1,2,No,5th July 2022,2
526,,Solo Leisure,Business Class,July 2022,2,3,3,2,2,1,1,No,4th July 2022,1
527,,Business,Economy Class,June 2022,1,1,1,1,1,1,1,No,4th July 2022,1
528,,Solo Leisure,Economy Class,June 2022,1,1,,,1,,1,No,4th July 2022,1
529,,Solo Leisure,Economy Class,June 2022,3,1,2,1,1,1,1,No,4th July 2022,1
530,,Couple Leisure,Economy Class,July 2022,3,4,3,,1,,1,No,4th July 2022,1
531,,Family Leisure,Economy Class,July 2022,1,1,,,1,,1,No,4th July 2022,1
532,,Family Leisure,Premium Economy,July 2022,2,1,2,5,1,1,1,No,3rd July 2022,1
533,A321,Couple Leisure,Economy Class,June 2022,3,3,2,1,1,,2,No,3rd July 2022,2
534,,Solo Leisure,Economy Class,June 2022,3,3,,,1,,1,No,2nd July 2022,1
535,,Solo Leisure,Economy Class,June 2022,1,2,1,,1,,1,No,2nd July 2022,1
536,,Family Leisure,Economy Class,June 2022,3,5,5,5,1,3,3,No,1st July 2022,1
537,,Business,Economy Class,June 2022,3,3,2,3,1,3,3,No,1st July 2022,1
538,,Family Leisure,Economy Class,June 2022,1,2,2,3,1,1,1,No,1st July 2022,1
539,Boeing 777,Solo Leisure,Economy Class,June 2022,3,3,2,2,1,1,1,No,1st July 2022,1
540,,Business,Economy Class,June 2022,1,1,1,1,1,1,1,No,1st July 2022,1
541,,Business,Business Class,June 2022,3,2,3,1,2,1,3,No,1st July 2022,3
542,Boeing 777,Family Leisure,Premium Economy,June 2022,3,2,1,2,1,1,1,No,30th June 2022,1
543,,Family Leisure,Economy Class,June 2022,2,1,,,1,,1,No,30th June 2022,1
544,Boeing 789,Solo Leisure,Economy Class,June 2022,2,1,1,1,1,2,2,No,30th June 2022,1
545,A330,Couple Leisure,Economy Class,June 2022,2,2,1,4,1,,1,No,30th June 2022,1
546,,Family Leisure,Economy Class,April 2022,1,1,1,1,1,1,1,No,30th June 2022,1
