,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
925,,Business,Economy Class,November 2019,2,3,2,2,2,1,1,No,19th November 2019,1
926,,Couple Leisure,Economy Class,November 2019,1,4,3,3,3,3,2,No,19th November 2019,3
927,Boeing 777-300ER,Family Leisure,Economy Class,November 2019,3,5,4,5,4,,5,Yes,14th November 2019,10
928,,Couple Leisure,Economy Class,November 2019,2,1,,,1,1,1,No,13th November 2019,1
929,,Solo Leisure,Economy Class,November 2019,,,,,1,,1,No,12th November 2019,1
930,,Solo Leisure,Economy Class,November 2019,,,,,1,,2,No,10th November 2019,1
931,A321,Couple Leisure,Economy Class,November 2019,1,5,,,5,,2,Yes,10th November 2019,3
932,Boeing 777-300ER,Family Leisure,Economy Class,June 2019,1,2,4,3,3,1,4,No,8th November 2019,7
933,,Solo Leisure,Economy Class,October 2019,5,5,5,5,5,5,5,Yes,7th November 2019,10
934,Boeing 787,Business,Economy Class,October 2019,3,4,1,3,1,,1,No,2nd November 2019,2
935,E175,Business,Economy Class,October 2019,2,1,1,,2,,3,No,2nd November 2019,3
936,,Business,Business Class,January 2019,,,,,,,3,Yes,2nd November 2019,10
937,,Couple Leisure,Economy Class,October 2019,5,5,5,4,5,,5,Yes,28th October 2019,10
938,,Solo Leisure,Economy Class,October 2019,1,2,1,1,1,1,1,No,24th October 2019,1
939,,Solo Leisure,Economy Class,October 2019,1,3,1,,3,,1,No,24th October 2019,1
940,Boeing 777-300ER,Solo Leisure,Economy Class,October 2019,1,4,2,3,3,2,4,No,23rd October 2019,5
941,,Business,Economy Class,October 2019,1,1,1,4,1,,1,No,23rd October 2019,2
942,,Couple Leisure,Economy Class,October 2019,1,2,1,1,1,1,1,No,21st October 2019,4
943,A330,Solo Leisure,Economy Class,October 2019,5,5,5,5,5,,5,Yes,20th October 2019,10
944,Boeing 777,Couple Leisure,Economy Class,September 2019,3,4,3,4,4,,4,Yes,16th October 2019,7
945,,Couple Leisure,Economy Class,October 2019,4,4,2,5,4,,2,Yes,16th October 2019,8
946,,Solo Leisure,Economy Class,October 2019,2,2,2,2,1,4,1,No,16th October 2019,1
947,,Couple Leisure,Economy Class,October 2019,5,5,5,5,5,,5,Yes,15th October 2019,10
948,,Couple Leisure,Premium Economy,October 2019,4,1,1,5,5,,2,No,12th October 2019,4
949,,Couple Leisure,Economy Class,October 2019,2,1,1,2,2,,2,No,10th October 2019,2
950,,Solo Leisure,Economy Class,October 2019,1,1,1,1,1,1,1,No,10th October 2019,1
951,,Family Leisure,Economy Class,September 2019,4,4,,,5,,5,Yes,9th October 2019,10
952,A319,Couple Leisure,Economy Class,October 2019,5,5,3,5,5,3,5,Yes,6th October 2019,10
953,,Business,Economy Class,October 2019,1,1,3,4,4,4,1,No,6th October 2019,1
954,,Family Leisure,Economy Class,September 2019,3,2,3,,1,,2,No,4th October 2019,2
955,,Solo Leisure,Economy Class,August 2019,1,1,,,1,,1,No,3rd October 2019,1
956,Boeing 777,Solo Leisure,Business Class,September 2019,5,5,5,5,5,,5,Yes,30th September 2019,9
957,Boeing 767,Solo Leisure,Economy Class,September 2019,3,3,2,5,4,,3,No,26th September 2019,5
958,,Business,Economy Class,September 2019,2,2,1,2,1,,1,No,24th September 2019,1
959,,Business,Economy Class,September 2019,1,2,1,2,1,1,1,No,23rd September 2019,1
960,,Business,Economy Class,September 2019,3,5,2,2,1,,2,No,23rd September 2019,1
961,Boeing 787-8,Couple Leisure,Economy Class,September 2019,5,5,5,5,5,,5,Yes,22nd September 2019,10
962,,Solo Leisure,Economy Class,September 2019,1,1,,,1,,1,No,21st September 2019,2
963,Boeing 787,Couple Leisure,Economy Class,September 2019,4,5,3,2,4,,4,Yes,21st September 2019,9
964,,Couple Leisure,Economy Class,September 2019,4,3,,5,5,,4,Yes,20th September 2019,9
965,,Family Leisure,Economy Class,September 2019,2,2,2,1,2,1,4,No,19th September 2019,2
966,,Couple Leisure,Economy Class,September 2019,2,5,,2,1,2,1,No,13th September 2019,1
967,Boeing 787,Couple Leisure,Economy Class,September 2019,1,3,1,1,1,,2,No,12th September 2019,3
968,Boeing 787,Family Leisure,Economy Class,August 2019,5,5,5,5,5,4,5,Yes,11th September 2019,10
969,Boeing 787-8,Family Leisure,Economy Class,August 2019,2,3,1,2,4,,2,No,11th September 2019,4
970,Boeing 787,Business,Business Class,September 2019,3,4,3,3,1,,1,No,9th September 2019,1
971,,Business,Economy Class,October 2018,2,4,,,1,,1,No,9th September 2019,3
972,,Family Leisure,Business Class,July 2019,,,,,1,,1,No,8th September 2019,1
973,Boeing 789,Solo Leisure,Economy Class,September 2019,2,2,,,2,,1,No,8th September 2019,1
974,,Couple Leisure,Economy Class,August 2019,2,2,1,,3,,2,No,6th September 2019,3
975,,Business,Economy Class,August 2019,,,,,,,1,No,5th September 2019,1
976,Boeing 777-300,Family Leisure,Premium Economy,August 2019,4,5,4,5,4,,4,Yes,3rd September 2019,10
977,,Couple Leisure,Economy Class,July 2019,1,1,1,1,1,1,1,No,31st August 2019,2
978,,Solo Leisure,Economy Class,August 2019,3,2,,,1,,2,No,30th August 2019,3
979,Boeing 777-300ER,Family Leisure,Economy Class,May 2019,1,1,,,1,,1,No,30th August 2019,1
980,A330-300,Solo Leisure,Economy Class,August 2019,1,1,1,2,1,,1,No,28th August 2019,1
